claim_id	result
sample-fixture	PASS
promise-status-from-allocation	PASS
allocation-keeps-source	PASS
supplier-quantity-conserved	PASS
reorder-after-allocation	PASS
demo-reset-isolated	PASS
offline-reload	PASS
local-workspace-flow	PASS
demo-feature-boundaries	PASS
indexeddb-local-storage	PASS
demo-network-privacy	PASS
clear-local-records	PASS
workspace-backup-roundtrip	PASS
csv-import-validation	PASS
demo-transfer-isolated	PASS
csv-template-download	PASS
entra-sign-in	PASS
tenant-data-isolation	PASS
two-device-sync	PASS
idempotent-sync	PASS
offline-signed-in-sync	PASS
sync-conflict-resolution	PASS
invitation-email-activation	PASS
account-service-boundaries	PASS
audit-log-recording	PASS
firm-deletion-hold	PASS
response-policy	PASS
subscription-checkout	PASS
technician-seat-charge	PASS
expired-plan-keeps-export	PASS
container-runtime	PASS
