id	result	command
sample-fixture	PASS	npm run test:e2e -- --grep @claim:sample-fixture
promise-status-from-allocation	PASS	npm run test:e2e -- --grep @claim:promise-status-from-allocation
allocation-keeps-source	PASS	npm run test:e2e -- --grep @claim:allocation-keeps-source
supplier-quantity-conserved	PASS	npm run test:e2e -- --grep @claim:supplier-quantity-conserved
reorder-after-allocation	PASS	npm run test:e2e -- --grep @claim:reorder-after-allocation
demo-reset-isolated	PASS	npm run test:e2e -- --grep @claim:demo-reset-isolated
offline-reload	PASS	npm run test:e2e -- --grep @claim:offline-reload
local-workspace-flow	PASS	npm run test:e2e -- --grep @claim:local-workspace-flow
demo-feature-boundaries	PASS	npm run test:e2e -- --grep @claim:demo-feature-boundaries
indexeddb-local-storage	PASS	npm run test:e2e -- --grep @claim:indexeddb-local-storage
demo-network-privacy	PASS	npm run test:e2e -- --grep @claim:demo-network-privacy
manual-barcode-allocation	PASS	npm run test:e2e -- --grep @claim:manual-barcode-allocation
camera-barcode-privacy	PASS	npm run test:e2e -- --grep @claim:camera-barcode-privacy
release-order-boundary	PASS	npm run test:e2e -- --grep @claim:release-order-boundary
clear-local-records	PASS	npm run test:e2e -- --grep @claim:clear-local-records
workspace-backup-roundtrip	PASS	npm run test:e2e -- --grep @claim:workspace-backup-roundtrip
csv-import-validation	PASS	npm run test:e2e -- --grep @claim:csv-import-validation
demo-transfer-isolated	PASS	npm run test:e2e -- --grep @claim:demo-transfer-isolated
csv-template-download	PASS	npm run test:e2e -- --grep @claim:csv-template-download
entra-sign-in	PASS	npm run test:e2e -- --grep @claim:entra-sign-in
tenant-data-isolation	PASS	npm run test:e2e -- --grep @claim:tenant-data-isolation
two-device-sync	PASS	npm run test:e2e -- --grep @claim:two-device-sync
idempotent-sync	PASS	npm run test:e2e -- --grep @claim:idempotent-sync
offline-signed-in-sync	PASS	npm run test:e2e -- --grep @claim:offline-signed-in-sync
sync-conflict-resolution	PASS	npm run test:e2e -- --grep @claim:sync-conflict-resolution
invitation-email-activation	PASS	npm run test:e2e -- --grep @claim:invitation-email-activation
account-service-boundaries	PASS	npm run test:e2e -- --grep @claim:account-service-boundaries
sensitive-input-boundary	PASS	npm run test:e2e -- --grep @claim:sensitive-input-boundary
audit-log-recording	PASS	npm run test:e2e -- --grep @claim:audit-log-recording
firm-deletion-hold	PASS	npm run test:e2e -- --grep @claim:firm-deletion-hold
response-policy	PASS	npm run test:e2e -- --grep @claim:response-policy
subscription-checkout	PASS	npm run test:e2e -- --grep @claim:subscription-checkout
technician-seat-charge	PASS	npm run test:e2e -- --grep @claim:technician-seat-charge
expired-plan-keeps-export	PASS	npm run test:e2e -- --grep @claim:expired-plan-keeps-export
durable-runtime-storage	PASS	npm run test:e2e -- --grep @claim:durable-runtime-storage
visible-build-identity	PASS	npm run test:e2e -- --grep @claim:visible-build-identity
container-runtime	PASS	npm run test:e2e -- --grep @claim:container-runtime
